n,time,ln(n)
16000000,1834,1293.156857
16100000,1625,1294.055735
16200000,1584,1294.949048
16300000,958,1295.836863
16400000,1542,1296.719248
16500000,1417,1297.596269
16600000,1166,1298.467991
16700000,750,1299.334477
16800000,583,1300.19579
16900000,958,1301.051991
17000000,1709,1301.903141
17100000,1292,1302.749299
17200000,2041,1303.590523
17300000,1167,1304.42687
17400000,834,1305.258397
17500000,1334,1306.085159
17600000,1416,1306.907209
17700000,1958,1307.724602
17800000,1625,1308.537391
17900000,1041,1309.345625
18000000,1750,1310.149357
18100000,1709,1310.948636
18200000,1459,1311.743511
18300000,1667,1312.534031
18400000,1833,1313.320243
18500000,1334,1314.102193
18600000,1250,1314.879929
18700000,667,1315.653493
18800000,1459,1316.422933
18900000,1584,1317.18829
19000000,1625,1317.949608
19100000,1541,1318.70693
19200000,1208,1319.460298
19300000,1541,1320.209751
19400000,1250,1320.955332
19500000,1666,1321.697079
19600000,1333,1322.435032
19700000,1625,1323.169229
19800000,1917,1323.899709
19900000,1500,1324.626509
20000000,1667,1325.349666
20100000,1375,1326.069217
20200000,1417,1326.785196
20300000,1417,1327.497639
20400000,1208,1328.206582
20500000,1333,1328.912057
20600000,1666,1329.6141
20700000,1750,1330.312743
20800000,1750,1331.008019
20900000,1625,1331.699961
21000000,833,1332.388599
21100000,1583,1333.073966
21200000,1375,1333.756093
21300000,1250,1334.435009
21400000,1500,1335.110746
21500000,4625,1335.783332
21600000,1542,1336.452798
21700000,1542,1337.119171
21800000,1708,1337.78248
21900000,1542,1338.442753
22000000,541,1339.100019
22100000,1166,1339.754303
22200000,1542,1340.405634
22300000,1125,1341.054037
22400000,1625,1341.69954
22500000,1583,1342.342167
22600000,1708,1342.981944
22700000,1459,1343.618896
22800000,1208,1344.253049
22900000,1667,1344.884426
23000000,1333,1345.513053
23100000,708,1346.138952
23200000,1334,1346.762147
23300000,1250,1347.382662
23400000,1458,1348.000519
23500000,1167,1348.615742
23600000,1291,1349.228352
23700000,1166,1349.838372
23800000,1792,1350.445824
23900000,417,1351.050728
24000000,1916,1351.653107
24100000,1917,1352.252981
24200000,1417,1352.850371
24300000,1000,1353.445298
24400000,1708,1354.037781
24500000,1042,1354.627841
24600000,1500,1355.215498
24700000,1917,1355.800771
24800000,625,1356.383678
24900000,1292,1356.964241
25000000,1500,1357.542476
25100000,1750,1358.118403
25200000,708,1358.69204
25300000,1459,1359.263405
25400000,1458,1359.832516
25500000,1250,1360.399391
25600000,1542,1360.964047
25700000,1459,1361.526502
25800000,1500,1362.086773
25900000,1250,1362.644876
26000000,1250,1363.200829
26100000,1333,1363.754647
26200000,1708,1364.306348
26300000,1708,1364.855946
26400000,1459,1365.403459
26500000,959,1365.948902
26600000,1042,1366.492291
26700000,1875,1367.033641
26800000,1209,1367.572966
26900000,1167,1368.110284
27000000,916,1368.645607
27100000,1500,1369.178952
27200000,833,1369.710332
27300000,1541,1370.239762
27400000,958,1370.767256
27500000,792,1371.292828
27600000,1541,1371.816493
27700000,1125,1372.338264
27800000,1458,1372.858155
27900000,1542,1373.376179
28000000,417,1373.892349
28100000,1542,1374.406679
28200000,1416,1374.919183
28300000,1709,1375.429872
28400000,1375,1375.938759
28500000,1500,1376.445858
28600000,1250,1376.951181
28700000,1625,1377.45474
28800000,1625,1377.956548
28900000,1542,1378.456616
29000000,1792,1378.954956
29100000,1584,1379.451582
29200000,1083,1379.946503
29300000,1375,1380.439733
29400000,1542,1380.931282
29500000,917,1381.421162
29600000,1834,1381.909384
29700000,1334,1382.39596
29800000,1917,1382.880899
29900000,1666,1383.364215
30000000,1250,1383.845916
30100000,1667,1384.326015
30200000,1083,1384.804521
30300000,1292,1385.281446
30400000,1666,1385.756799
30500000,1625,1386.230591
30600000,1791,1386.702832
30700000,1125,1387.173532
30800000,1583,1387.642702
30900000,1458,1388.11035
31000000,1458,1388.576488
31100000,1625,1389.041124
31200000,1458,1389.504269
31300000,1834,1389.965932
31400000,1459,1390.426122
31500000,1250,1390.884849
31600000,1584,1391.342122
31700000,1250,1391.79795
31800000,1667,1392.252343
31900000,1459,1392.705309
32000000,1583,1393.156857
32100000,1125,1393.606996
