n,time,log
1610000,875,1074.235511
1620000,667,1075.307486
1630000,834,1076.372864
1640000,834,1077.431726
1650000,625,1078.484151
1660000,708,1079.530217
1670000,1083,1080.570001
1680000,834,1081.603576
1690000,1042,1082.631018
1700000,1041,1083.652398
1710000,1334,1084.667787
1720000,459,1085.677256
1730000,1042,1086.680873
1740000,1417,1087.678705
1750000,834,1088.670819
1760000,708,1089.65728
1770000,1041,1090.638152
1780000,1959,1091.613497
1790000,959,1092.583379
1800000,917,1093.547857
1810000,542,1094.506992
1820000,1250,1095.460842
1830000,1250,1096.409466
1840000,1250,1097.35292
1850000,1292,1098.291261
1860000,959,1099.224543
1870000,1375,1100.152821
1880000,708,1101.076148
1890000,916,1101.994576
1900000,417,1102.908159
1910000,958,1103.816945
1920000,4042,1104.720986
1930000,958,1105.62033
1940000,1041,1106.515027
1950000,1375,1107.405123
1960000,1333,1108.290667
1970000,750,1109.171704
1980000,1334,1110.04828
1990000,1125,1110.92044
2000000,792,1111.788228
2010000,1500,1112.651688
2020000,791,1113.510863
2030000,917,1114.365796
2040000,833,1115.216527
2050000,1291,1116.063097
2060000,583,1116.905549
2070000,1041,1117.74392
2080000,1084,1118.578252
2090000,917,1119.408581
2100000,792,1120.234948
2110000,1209,1121.057388
2120000,875,1121.87594
2130000,792,1122.69064
2140000,1250,1123.501524
2150000,1083,1124.308627
2160000,667,1125.111986
2170000,1584,1125.911633
2180000,1083,1126.707605
2190000,1375,1127.499933
2200000,1000,1128.288651
2210000,1250,1129.073793
2220000,1708,1129.85539
2230000,1167,1130.633474
2240000,1083,1131.408076
2250000,1250,1132.179228
2260000,875,1132.946961
2270000,1208,1133.711304
2280000,1542,1134.472287
2290000,1333,1135.22994
2300000,1000,1135.984292
2310000,1417,1136.735371
2320000,1333,1137.483205
2330000,1333,1138.227823
2340000,1125,1138.969252
2350000,1500,1139.707519
2360000,1166,1140.442651
2370000,1250,1141.174675
2380000,1125,1141.903617
2390000,917,1142.629503
2400000,1583,1143.352357
2410000,1042,1144.072206
2420000,1167,1144.789074
2430000,1333,1145.502986
2440000,958,1146.213966
2450000,1292,1146.922038
2460000,1250,1147.627226
2470000,1750,1148.329553
2480000,958,1149.029043
2490000,1667,1149.725717
2500000,1458,1150.4196
2510000,875,1151.110712
2520000,1333,1151.799076
2530000,1250,1152.484715
2540000,1333,1153.167648
2550000,1666,1153.847898
2560000,1208,1154.525486
2570000,1125,1155.200431
2580000,1500,1155.872756
2590000,1125,1156.54248
2600000,1291,1157.209623
2610000,1375,1157.874205
2620000,1375,1158.536246
2630000,791,1159.195764
2640000,1166,1159.85278
2650000,1042,1160.507311
2660000,1333,1161.159378
2670000,1166,1161.808997
2680000,1000,1162.456188
2690000,1375,1163.100969
2700000,1417,1163.743357
2710000,1541,1164.383371
2720000,1000,1165.021026
2730000,1292,1165.656342
2740000,1000,1166.289336
2750000,875,1166.920023
2760000,1167,1167.54842
2770000,1250,1168.174545
2780000,1125,1168.798414
2790000,1500,1169.420043
2800000,1416,1170.039448
2810000,959,1170.656644
2820000,458,1171.271648
2830000,1292,1171.884475
2840000,1042,1172.49514
2850000,1333,1173.103659
2860000,1416,1173.710046
2870000,1125,1174.314317
2880000,875,1174.916486
2890000,1417,1175.516567
2900000,1375,1176.114576
2910000,1375,1176.710527
2920000,1625,1177.304433
2930000,1042,1177.896308
2940000,1417,1178.486167
2950000,1417,1179.074023
2960000,1209,1179.659889
2970000,1291,1180.24378
2980000,1083,1180.825708
2990000,1167,1181.405686
3000000,1167,1181.983728
3010000,917,1182.559847
3020000,1000,1183.134054
3030000,875,1183.706364
3040000,1125,1184.276787
3050000,958,1184.845337
3060000,1542,1185.412027
3070000,1542,1185.976867
3080000,625,1186.53987
3090000,917,1187.101049
3100000,875,1187.660414
3110000,1583,1188.217978
3120000,1459,1188.773752
3130000,1167,1189.327747
3140000,1375,1189.879975
3150000,1459,1190.430448
3160000,792,1190.979175
3170000,1042,1191.526169
3180000,1458,1192.07144
3190000,1250,1192.614999
3200000,375,1193.156857
3210000,1875,1193.697024
3220000,958,1194.235511
3230000,1125,1194.772328
3240000,1333,1195.307486
3250000,1333,1195.840994
3260000,1167,1196.372864
3270000,1625,1196.903105
3280000,1291,1197.431726
3290000,1625,1197.958738
3300000,1583,1198.484151
3310000,375,1199.007974
3320000,1125,1199.530217
3330000,1125,1200.05089
3340000,958,1200.570001
3350000,1375,1201.08756
3360000,1500,1201.603576
3370000,1125,1202.118059
3380000,1042,1202.631018
3390000,1167,1203.142461
3400000,1500,1203.652398
3410000,1125,1204.160837
3420000,1500,1204.667787
3430000,1417,1205.173257
3440000,1250,1205.677256
3450000,1667,1206.179792
3460000,1250,1206.680873
3470000,1541,1207.180508
3480000,1375,1207.678705
3490000,1833,1208.175473
3500000,625,1208.670819
3510000,1500,1209.164752
3520000,1125,1209.65728
3530000,1417,1210.14841
3540000,1083,1210.638152
3550000,1416,1211.126511
3560000,1209,1211.613497
3570000,1250,1212.099117
3580000,1000,1212.583379
3590000,1458,1213.06629
3600000,1417,1213.547857
3610000,1042,1214.028089
3620000,1250,1214.506992
3630000,1458,1214.984574
3640000,1541,1215.460842
3650000,1084,1215.935804
3660000,1375,1216.409466
3670000,1583,1216.881836
3680000,1125,1217.35292
3690000,792,1217.822726
3700000,1208,1218.291261
3710000,1375,1218.758531
3720000,1500,1219.224543
3730000,1000,1219.689304
3740000,1042,1220.152821
3750000,1667,1220.6151
3760000,1209,1221.076148
3770000,1250,1221.535971
3780000,1000,1221.994576
3790000,1792,1222.45197
3800000,792,1222.908159
3810000,1292,1223.363148
3820000,1333,1223.816945
3830000,1292,1224.269555
3840000,833,1224.720986
3850000,1291,1225.171242
3860000,1208,1225.62033
3870000,1709,1226.068256
3880000,1208,1226.515027
3890000,1417,1226.960647
3900000,1292,1227.405123
3910000,1250,1227.848461
3920000,1583,1228.290667
3930000,1541,1228.731746
3940000,834,1229.171704
3950000,1167,1229.610547
3960000,1417,1230.04828
3970000,1125,1230.484909
3980000,834,1230.92044
3990000,1458,1231.354878
4000000,1333,1231.788228
4010000,1208,1232.220497
4020000,3417,1232.651688
4030000,1625,1233.081809
4040000,1375,1233.510863
4050000,1375,1233.938857
4060000,1500,1234.365796
4070000,667,1234.791684
4080000,1375,1235.216527
4090000,1375,1235.640329
4100000,1291,1236.063097
4110000,958,1236.484836
4120000,1417,1236.905549
4130000,917,1237.325242
4140000,1167,1237.74392
4150000,1334,1238.161589
4160000,2125,1238.578252
4170000,1625,1238.993914
4180000,375,1239.408581
4190000,1041,1239.822258
4200000,1666,1240.234948
4210000,1500,1240.646656
4220000,2167,1241.057388
4230000,1417,1241.467148
4240000,1333,1241.87594
4250000,1167,1242.283769
4260000,1792,1242.69064
4270000,1292,1243.096557
4280000,1458,1243.501524
4290000,1333,1243.905546
4300000,1333,1244.308627
4310000,1625,1244.710773
4320000,1625,1245.111986
4330000,1292,1245.512271
4340000,1250,1245.911633
4350000,1125,1246.310076
4360000,1209,1246.707605
4370000,1250,1247.104222
4380000,1709,1247.499933
4390000,1583,1247.894741
4400000,1416,1248.288651
4410000,1500,1248.681667
4420000,1417,1249.073793
4430000,1375,1249.465032
4440000,1542,1249.85539
4450000,1375,1250.244869
4460000,708,1250.633474
4470000,1833,1251.021208
4480000,1250,1251.408076
4490000,1125,1251.794082
4500000,1667,1252.179228
4510000,1208,1252.56352
4520000,750,1252.946961
4530000,1333,1253.329554
4540000,1083,1253.711304
4550000,1667,1254.092214
4560000,5833,1254.472287
4570000,1542,1254.851528
4580000,1375,1255.22994
4590000,1250,1255.607527
4600000,1333,1255.984292
4610000,1000,1256.360238
4620000,1083,1256.735371
4630000,1458,1257.109692
4640000,1084,1257.483205
4650000,2709,1257.855914
4660000,1375,1258.227823
4670000,1542,1258.598934
4680000,1000,1258.969252
4690000,1042,1259.338779
4700000,1167,1259.707519
4710000,1458,1260.075475
4720000,1125,1260.442651
4730000,3000,1260.80905
4740000,1250,1261.174675
4750000,1334,1261.53953
4760000,1458,1261.903617
4770000,1167,1262.26694
4780000,1208,1262.629503
4790000,958,1262.991307
4800000,1708,1263.352357
4810000,1125,1263.712656
4820000,1625,1264.072206
4830000,1375,1264.431011
4840000,1166,1264.789074
4850000,1458,1265.146398
4860000,833,1265.502986
4870000,1625,1265.858841
4880000,917,1266.213966
4890000,2041,1266.568364
4900000,1667,1266.922038
4910000,1084,1267.274991
4920000,1458,1267.627226
4930000,1208,1267.978746
4940000,1458,1268.329553
4950000,417,1268.679651
4960000,1583,1269.029043
4970000,1583,1269.377731
4980000,2125,1269.725717
4990000,1042,1270.073006
5000000,1292,1270.4196
5010000,1375,1270.765501
5020000,1334,1271.110712
5030000,916,1271.455236
5040000,1584,1271.799076
5050000,1417,1272.142235
5060000,833,1272.484715
5070000,1542,1272.826518
